2021-07-04 13:07:238 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 13:07:63 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 13:07:99 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 13:07:153 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (bb2e8efbc480eb3efd097bf710429b94)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 13:07:827 INFO  HomePage :29 - Mouse Hover and Click on search cars link: [[ChromeDriver: chrome on WINDOWS (bb2e8efbc480eb3efd097bf710429b94)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 13:07:335 INFO  NewAndUsedCarPage :34 - Verify that user navigate to new and Used car page :[[ChromeDriver: chrome on WINDOWS (bb2e8efbc480eb3efd097bf710429b94)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 13:07:743 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 13:07:20 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (ad0c687e913ae5c5e602927ff86f2342)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 13:07:772 INFO  HomePage :29 - Mouse Hover and Click on search cars link: [[ChromeDriver: chrome on WINDOWS (ad0c687e913ae5c5e602927ff86f2342)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 13:07:201 INFO  NewAndUsedCarPage :34 - Verify that user navigate to new and Used car page :[[ChromeDriver: chrome on WINDOWS (ad0c687e913ae5c5e602927ff86f2342)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 13:07:185 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 13:07:366 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (554e1a6cd9acf152b1d7964af918d3b1)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 13:07:241 INFO  HomePage :29 - Mouse Hover and Click on search cars link: [[ChromeDriver: chrome on WINDOWS (554e1a6cd9acf152b1d7964af918d3b1)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 13:07:278 INFO  NewAndUsedCarPage :34 - Verify that user navigate to new and Used car page :[[ChromeDriver: chrome on WINDOWS (554e1a6cd9acf152b1d7964af918d3b1)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 13:07:264 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 13:07:430 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (330fc45eea0f79cbf7450bbe67da9249)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 13:07:492 INFO  HomePage :29 - Mouse Hover and Click on search cars link: [[ChromeDriver: chrome on WINDOWS (330fc45eea0f79cbf7450bbe67da9249)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 13:07:526 INFO  NewAndUsedCarPage :34 - Verify that user navigate to new and Used car page :[[ChromeDriver: chrome on WINDOWS (330fc45eea0f79cbf7450bbe67da9249)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 13:07:501 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 13:07:94 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (0671d7dc9085760a0ab01b3db30ca28a)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 13:07:716 INFO  HomePage :29 - Mouse Hover and Click on search cars link: [[ChromeDriver: chrome on WINDOWS (0671d7dc9085760a0ab01b3db30ca28a)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 13:07:748 INFO  NewAndUsedCarPage :34 - Verify that user navigate to new and Used car page :[[ChromeDriver: chrome on WINDOWS (0671d7dc9085760a0ab01b3db30ca28a)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 13:07:481 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 13:07:824 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 13:07:61 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (9a82773aaea301259502acf46a585d7f)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 13:07:993 INFO  HomePage :29 - Mouse Hover and Click on search cars link: [[ChromeDriver: chrome on WINDOWS (9a82773aaea301259502acf46a585d7f)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 13:07:649 INFO  NewAndUsedCarPage :34 - Verify that user navigate to new and Used car page :[[ChromeDriver: chrome on WINDOWS (9a82773aaea301259502acf46a585d7f)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 13:07:208 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 13:07:551 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (8edeb7b7d044541c648c082a9b38723f)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 13:07:842 INFO  HomePage :29 - Mouse Hover and Click on search cars link: [[ChromeDriver: chrome on WINDOWS (8edeb7b7d044541c648c082a9b38723f)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 13:07:881 INFO  NewAndUsedCarPage :34 - Verify that user navigate to new and Used car page :[[ChromeDriver: chrome on WINDOWS (8edeb7b7d044541c648c082a9b38723f)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 13:07:06 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 13:07:868 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (494ab693277e7286883dca8c3a05ea84)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 13:07:878 INFO  HomePage :29 - Mouse Hover and Click on search cars link: [[ChromeDriver: chrome on WINDOWS (494ab693277e7286883dca8c3a05ea84)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 13:07:41 INFO  NewAndUsedCarPage :34 - Verify that user navigate to new and Used car page :[[ChromeDriver: chrome on WINDOWS (494ab693277e7286883dca8c3a05ea84)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 13:07:94 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 13:07:515 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (1fcbf9f88f5b6d5f2ad791c3ecb4f42f)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 13:07:164 INFO  HomePage :29 - Mouse Hover and Click on search cars link: [[ChromeDriver: chrome on WINDOWS (1fcbf9f88f5b6d5f2ad791c3ecb4f42f)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 13:07:212 INFO  NewAndUsedCarPage :34 - Verify that user navigate to new and Used car page :[[ChromeDriver: chrome on WINDOWS (1fcbf9f88f5b6d5f2ad791c3ecb4f42f)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 13:07:237 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 13:07:680 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (f2de49351dc29b9019ea75b3960dcc5c)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 13:07:309 INFO  HomePage :29 - Mouse Hover and Click on search cars link: [[ChromeDriver: chrome on WINDOWS (f2de49351dc29b9019ea75b3960dcc5c)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 13:07:343 INFO  NewAndUsedCarPage :34 - Verify that user navigate to new and Used car page :[[ChromeDriver: chrome on WINDOWS (f2de49351dc29b9019ea75b3960dcc5c)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 13:07:489 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 13:07:784 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (a0f870cfed54abcc9df9dbc8466cd95e)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 13:07:76 INFO  HomePage :29 - Mouse Hover and Click on search cars link: [[ChromeDriver: chrome on WINDOWS (a0f870cfed54abcc9df9dbc8466cd95e)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 13:07:119 INFO  NewAndUsedCarPage :34 - Verify that user navigate to new and Used car page :[[ChromeDriver: chrome on WINDOWS (a0f870cfed54abcc9df9dbc8466cd95e)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 13:07:259 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 13:07:283 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (d8b6339377c4108fdf6f36f2eb882fbb)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 13:07:806 INFO  HomePage :29 - Mouse Hover and Click on search cars link: [[ChromeDriver: chrome on WINDOWS (d8b6339377c4108fdf6f36f2eb882fbb)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 13:07:860 INFO  NewAndUsedCarPage :34 - Verify that user navigate to new and Used car page :[[ChromeDriver: chrome on WINDOWS (d8b6339377c4108fdf6f36f2eb882fbb)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 13:07:427 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 13:07:206 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (651e35b01d0ab50b8fefbd33dfe3d5a9)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 13:07:298 INFO  HomePage :29 - Mouse Hover and Click on search cars link: [[ChromeDriver: chrome on WINDOWS (651e35b01d0ab50b8fefbd33dfe3d5a9)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 13:07:906 INFO  NewAndUsedCarPage :34 - Verify that user navigate to new and Used car page :[[ChromeDriver: chrome on WINDOWS (651e35b01d0ab50b8fefbd33dfe3d5a9)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 14:07:340 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 14:07:265 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (efe0b98caae82b5e5d59a750aa9b3006)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 14:07:583 INFO  HomePage :29 - Mouse Hover and Click on search cars link: [[ChromeDriver: chrome on WINDOWS (efe0b98caae82b5e5d59a750aa9b3006)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 14:07:624 INFO  NewAndUsedCarPage :34 - Verify that user navigate to new and Used car page :[[ChromeDriver: chrome on WINDOWS (efe0b98caae82b5e5d59a750aa9b3006)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 14:07:428 INFO  NewAndUsedCarPage :41 - Select any make form drop down : [[ChromeDriver: chrome on WINDOWS (efe0b98caae82b5e5d59a750aa9b3006)] -> xpath: //select[@id='makes']]
2021-07-04 14:07:886 INFO  NewAndUsedCarPage :47 - Select any model from dropdown : [[ChromeDriver: chrome on WINDOWS (efe0b98caae82b5e5d59a750aa9b3006)] -> xpath: //select[@id='models']]
2021-07-04 14:07:534 INFO  NewAndUsedCarPage :53 - Select any Location from drop down: [[ChromeDriver: chrome on WINDOWS (efe0b98caae82b5e5d59a750aa9b3006)] -> xpath: //select[@id='locations']]
2021-07-04 14:07:926 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 14:07:29 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 14:07:126 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (ff21f503bf1534a5175a88dd3fa29d96)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 14:07:325 INFO  HomePage :29 - Mouse Hover and Click on search cars link: [[ChromeDriver: chrome on WINDOWS (ff21f503bf1534a5175a88dd3fa29d96)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 14:07:503 INFO  NewAndUsedCarPage :34 - Verify that user navigate to new and Used car page :[[ChromeDriver: chrome on WINDOWS (ff21f503bf1534a5175a88dd3fa29d96)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 14:07:152 INFO  NewAndUsedCarPage :41 - Select any make form drop down : [[ChromeDriver: chrome on WINDOWS (ff21f503bf1534a5175a88dd3fa29d96)] -> xpath: //select[@id='makes']]
2021-07-04 14:07:580 INFO  NewAndUsedCarPage :47 - Select any model from dropdown : [[ChromeDriver: chrome on WINDOWS (ff21f503bf1534a5175a88dd3fa29d96)] -> xpath: //select[@id='models']]
2021-07-04 14:07:44 INFO  NewAndUsedCarPage :53 - Select any Location from drop down: [[ChromeDriver: chrome on WINDOWS (ff21f503bf1534a5175a88dd3fa29d96)] -> xpath: //select[@id='locations']]
2021-07-04 14:07:931 INFO  NewAndUsedCarPage :60 - Select Price from drop down: [[ChromeDriver: chrome on WINDOWS (ff21f503bf1534a5175a88dd3fa29d96)] -> xpath: //select[@id='priceTo']]
2021-07-04 14:07:946 INFO  NewAndUsedCarPage :65 - Click on find my car button : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-07-04 14:07:511 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 14:07:442 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (d21ba76fdceaab0b39c91ea044c34bcb)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 14:07:217 INFO  HomePage :29 - Mouse Hover and Click on search cars link: [[ChromeDriver: chrome on WINDOWS (d21ba76fdceaab0b39c91ea044c34bcb)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 14:07:260 INFO  NewAndUsedCarPage :34 - Verify that user navigate to new and Used car page :[[ChromeDriver: chrome on WINDOWS (d21ba76fdceaab0b39c91ea044c34bcb)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 14:07:794 INFO  NewAndUsedCarPage :41 - Select any make form drop down : [[ChromeDriver: chrome on WINDOWS (d21ba76fdceaab0b39c91ea044c34bcb)] -> xpath: //select[@id='makes']]
2021-07-04 14:07:213 INFO  NewAndUsedCarPage :47 - Select any model from dropdown : [[ChromeDriver: chrome on WINDOWS (d21ba76fdceaab0b39c91ea044c34bcb)] -> xpath: //select[@id='models']]
2021-07-04 14:07:364 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 14:07:664 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (7e2188af267aa53d951917b6b87f075e)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 14:07:234 INFO  HomePage :29 - Mouse Hover and Click on search cars link: [[ChromeDriver: chrome on WINDOWS (7e2188af267aa53d951917b6b87f075e)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 14:07:276 INFO  NewAndUsedCarPage :34 - Verify that user navigate to new and Used car page :[[ChromeDriver: chrome on WINDOWS (7e2188af267aa53d951917b6b87f075e)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 14:07:705 INFO  NewAndUsedCarPage :41 - Select any make form drop down : [[ChromeDriver: chrome on WINDOWS (7e2188af267aa53d951917b6b87f075e)] -> xpath: //select[@id='makes']]
2021-07-04 14:07:158 INFO  NewAndUsedCarPage :47 - Select any model from dropdown : [[ChromeDriver: chrome on WINDOWS (7e2188af267aa53d951917b6b87f075e)] -> xpath: //select[@id='models']]
2021-07-04 14:07:608 INFO  NewAndUsedCarPage :53 - Select any Location from drop down: [[ChromeDriver: chrome on WINDOWS (7e2188af267aa53d951917b6b87f075e)] -> xpath: //select[@id='locations']]
2021-07-04 14:07:526 INFO  NewAndUsedCarPage :60 - Select Price from drop down: [[ChromeDriver: chrome on WINDOWS (7e2188af267aa53d951917b6b87f075e)] -> xpath: //select[@id='priceTo']]
2021-07-04 14:07:445 INFO  NewAndUsedCarPage :65 - Click on find my car button : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-07-04 14:07:803 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 14:07:753 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (1cac2ea1554b95805ffc04ca84ed626f)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 14:07:802 INFO  HomePage :29 - Mouse Hover and Click on search cars link: [[ChromeDriver: chrome on WINDOWS (1cac2ea1554b95805ffc04ca84ed626f)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 14:07:839 INFO  NewAndUsedCarPage :34 - Verify that user navigate to new and Used car page :[[ChromeDriver: chrome on WINDOWS (1cac2ea1554b95805ffc04ca84ed626f)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 14:07:299 INFO  NewAndUsedCarPage :41 - Select any make form drop down : [[ChromeDriver: chrome on WINDOWS (1cac2ea1554b95805ffc04ca84ed626f)] -> xpath: //select[@id='makes']]
2021-07-04 14:07:695 INFO  NewAndUsedCarPage :47 - Select any model from dropdown : [[ChromeDriver: chrome on WINDOWS (1cac2ea1554b95805ffc04ca84ed626f)] -> xpath: //select[@id='models']]
2021-07-04 14:07:111 INFO  NewAndUsedCarPage :53 - Select any Location from drop down: [[ChromeDriver: chrome on WINDOWS (1cac2ea1554b95805ffc04ca84ed626f)] -> xpath: //select[@id='locations']]
2021-07-04 14:07:101 INFO  NewAndUsedCarPage :60 - Select Price from drop down: [[ChromeDriver: chrome on WINDOWS (1cac2ea1554b95805ffc04ca84ed626f)] -> xpath: //select[@id='priceTo']]
2021-07-04 14:07:605 INFO  NewAndUsedCarPage :65 - Click on find my car button : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-07-04 14:07:678 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 14:07:554 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (ae96a7e52858dfdaad02b9ffc714d3ae)] -> xpath: //a[contains(text(),'buy + sell')]]
